property_id,review_id,reviewer_name,reviewer_picture_url,reviewer_badges,review_date,rating,comments,disclaimer,localized_date,localized_review,language,reviewee_name
1143371712266502884,1342992886713445651,Rachel,https://a0.muscache.com/im/pictures/user/9abdf71b-d8be-4db3-98aa-b79d6e413eab.jpg?aki_policy=profile_x_medium,None,Haley,2025-01-26T23:27:07.000Z,4,"Super cute little place with a private, retreat feel.",January 2025,,en
1143371712266502884,1341009568083458949,Meagan,https://a0.muscache.com/im/pictures/user/User-154218335/original/c079fbd6-74b9-4f71-8ace-756b27e61fab.jpeg?aki_policy=profile_x_medium,None,Haley,2025-01-24T05:46:37.000Z,5,"Communication with the hosts were pleasant and came in a timely manner. Although I had to cancel because of my own mistake, the place looked lovely and I will definitely try to book again next time I find myself in Calgary.",January 2025,,en
1143371712266502884,1337850133475839872,Meron,https://a0.muscache.com/im/pictures/user/User-203419884/original/8a1c31fd-7ae3-48aa-a6aa-7238a3fcadf8.jpeg?aki_policy=profile_x_medium,None,Haley,2025-01-19T21:09:23.000Z,5,"Very clean, quiet and beautiful home. Very accommodating and responsive host as well!",January 2025,,en
1143371712266502884,1337179263690861473,Denise,https://a0.muscache.com/im/pictures/user/6d395303-1ff1-486d-ab98-9fb9ee4c9bae.jpg?aki_policy=profile_x_medium,None,Haley,2025-01-18T22:56:30.000Z,5,"I had an absolutely wonderful stay at this quaint and private home! The property is tucked away in a peaceful neighborhood, providing a serene retreat while being conveniently close to everything you need. The location is unbeatable—surrounded by fantastic restaurants, a charming bakery, and beautiful trails that are perfect for a morning walk or jog. Downtown is just a short drive away, making it easy to explore the area.

The home itself was spotless, well-appointed, and had such a cozy, welcoming vibe. It’s clear that the host put a lot of thought into making the space both comfortable and stylish. If you're looking for privacy, charm, and convenience, this is the perfect spot.",January 2025,,en
1143371712266502884,1334925649265449559,Maggie,https://a0.muscache.com/im/pictures/user/User/original/c446972e-51c8-49e3-8452-6f4ee49f7a60.jpeg?aki_policy=profile_x_medium,None,Haley,2025-01-15T20:18:58.000Z,5,Thank you for hosting!,January 2025,,en
1143371712266502884,1332820326686168699,Barry & Christine,https://a0.muscache.com/im/pictures/user/User-6171097/original/9434e98c-cd2c-45b5-9b4f-fcfa6ac210b7.jpeg?aki_policy=profile_x_medium,None,Haley,2025-01-12T22:36:04.000Z,5,"It was gorgeous! Great little place, clean, comfy, just perfect!!",January 2025,,en
1143371712266502884,1326302751783632460,Maria Esther,https://a0.muscache.com/im/pictures/user/32e09e0e-2e12-449c-ba17-452bb1a46d89.jpg?aki_policy=profile_x_medium,None,Haley,2025-01-03T22:46:48.000Z,5,"It's a very cozy place to be, very intimate space in an active area.",January 2025,,en
1143371712266502884,1324818726899192648,Quinton,https://a0.muscache.com/im/pictures/user/6572e076-b43c-4519-8f7d-c8e5c27b3704.jpg?aki_policy=profile_x_medium,None,Haley,2025-01-01T21:38:19.000Z,5,"beautiful little place much better than the photos, has great parking in front of the house , east to get onto the highway to get around from the house,",January 2025,,en
1143371712266502884,1323396882506820020,Joey,https://a0.muscache.com/im/pictures/user/aa533ef3-fdc8-4a9d-807b-bd61bb67b1d5.jpg?aki_policy=profile_x_medium,None,Haley,2024-12-30T22:33:22.000Z,5,I felt very grateful to stay at Haley's place. The house provided me a wonderful environment that allowed to have a weekend full of peace and relaxation. The house provides everything you need to have a wonderful stay and I also enjoyed the location of the place and the privacy I was able to have.,December 2024,,en
1143371712266502884,1321986731475253479,Nichole,https://a0.muscache.com/im/pictures/user/029d04a3-00ff-4238-8852-6494164a3213.jpg?aki_policy=profile_x_medium,None,Haley,2024-12-28T23:51:39.000Z,5,"So comfy, excellent stay",December 2024,,en
